ingresos,egresos,clase,consejo
1065,2451,0,Reducción urgente de gastos. Considera renegociar tus deudas.
695,3248,0,Busca ingresos extra como trabajos freelance o ventas.
1896,1087,4,Asesórate con un experto financiero para dar el siguiente paso.
1300,2332,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
542,2494,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1918,2785,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2957,1039,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2260,3110,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1148,2179,0,Situación crítica. Elabora un presupuesto mensual estricto.
350,2777,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
714,1478,1,Revisa tus gastos mensuales y elimina los superfluos.
2532,1738,4,Planea tu jubilación con tiempo.
2373,2248,3,Evalúa tus gastos anuales y ajusta si es necesario.
2547,785,4,Planea tu jubilación con tiempo.
1215,2762,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2965,1716,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
534,1384,0,Busca ingresos extra como trabajos freelance o ventas.
681,2013,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2861,2998,1,Evita el uso frecuente de tarjetas de crédito.
2748,1375,4,Asesórate con un experto financiero para dar el siguiente paso.
1013,2083,0,Reducción urgente de gastos. Considera renegociar tus deudas.
260,1328,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1399,863,4,Asesórate con un experto financiero para dar el siguiente paso.
2762,829,4,Asesórate con un experto financiero para dar el siguiente paso.
2341,1555,4,Planea tu jubilación con tiempo.
787,2124,0,Busca ingresos extra como trabajos freelance o ventas.
518,320,3,Analiza opciones de inversión de bajo riesgo.
2777,1483,4,Asesórate con un experto financiero para dar el siguiente paso.
2807,2698,3,Analiza opciones de inversión de bajo riesgo.
2560,2589,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2353,1744,4,Asesórate con un experto financiero para dar el siguiente paso.
1886,2402,1,Evita el uso frecuente de tarjetas de crédito.
2989,723,4,Planea tu jubilación con tiempo.
925,2058,0,Busca ingresos extra como trabajos freelance o ventas.
1127,2399,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2199,255,4,Planea tu jubilación con tiempo.
1802,2537,1,Evita el uso frecuente de tarjetas de crédito.
2446,2022,3,Considera aumentar tu fondo de emergencia.
1340,1096,3,Evalúa tus gastos anuales y ajusta si es necesario.
357,3332,0,Situación crítica. Elabora un presupuesto mensual estricto.
1587,1918,1,Revisa tus gastos mensuales y elimina los superfluos.
988,3195,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1961,576,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2086,2509,1,Reduce gastos en entretenimiento o delivery.
567,789,1,Evita el uso frecuente de tarjetas de crédito.
464,208,3,Considera aumentar tu fondo de emergencia.
1384,1638,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
808,757,3,Evalúa tus gastos anuales y ajusta si es necesario.
2022,1040,4,Invierte en educación financiera o cursos.
1623,3245,0,Situación crítica. Elabora un presupuesto mensual estricto.
1101,553,4,Asesórate con un experto financiero para dar el siguiente paso.
612,353,3,Evalúa tus gastos anuales y ajusta si es necesario.
1683,392,4,Invierte en educación financiera o cursos.
1343,2436,0,Situación crítica. Elabora un presupuesto mensual estricto.
2502,1472,4,Planea tu jubilación con tiempo.
2029,2403,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
525,590,1,Evita el uso frecuente de tarjetas de crédito.
2312,3123,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2411,1384,4,Diversifica tus inversiones: considera fondos o bienes raíces.
227,209,3,Considera aumentar tu fondo de emergencia.
815,1319,1,Evita el uso frecuente de tarjetas de crédito.
743,3100,0,Situación crítica. Elabora un presupuesto mensual estricto.
2680,2616,3,Evalúa tus gastos anuales y ajusta si es necesario.
821,2956,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1230,2520,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1931,868,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2259,279,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
706,956,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2693,1702,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2031,263,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
245,199,3,"Sigue ahorrando, pero también revisa tus metas."
1990,2983,0,Situación crítica. Elabora un presupuesto mensual estricto.
930,1927,0,Situación crítica. Elabora un presupuesto mensual estricto.
1527,1062,3,Analiza opciones de inversión de bajo riesgo.
1422,361,4,Asesórate con un experto financiero para dar el siguiente paso.
1727,2196,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
583,1637,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1544,1209,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
1751,2565,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1631,3469,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
650,254,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
1901,2109,1,Evita el uso frecuente de tarjetas de crédito.
221,3488,0,Situación crítica. Elabora un presupuesto mensual estricto.
1252,1135,3,Considera aumentar tu fondo de emergencia.
2195,1306,4,Asesórate con un experto financiero para dar el siguiente paso.
2403,1421,4,Diversifica tus inversiones: considera fondos o bienes raíces.
429,2523,0,Situación crítica. Elabora un presupuesto mensual estricto.
2709,423,4,Invierte en educación financiera o cursos.
1309,2154,0,Busca ingresos extra como trabajos freelance o ventas.
981,1390,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2565,969,4,Planea tu jubilación con tiempo.
2326,3352,0,Busca ingresos extra como trabajos freelance o ventas.
2321,2861,1,Revisa tus gastos mensuales y elimina los superfluos.
1104,1019,3,Considera aumentar tu fondo de emergencia.
2067,1698,3,Evalúa tus gastos anuales y ajusta si es necesario.
909,1184,1,Evita el uso frecuente de tarjetas de crédito.
2270,647,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2714,3408,1,Revisa tus gastos mensuales y elimina los superfluos.
2491,3015,1,Revisa tus gastos mensuales y elimina los superfluos.
2985,1371,4,Asesórate con un experto financiero para dar el siguiente paso.
954,2218,0,Situación crítica. Elabora un presupuesto mensual estricto.
2121,380,4,Asesórate con un experto financiero para dar el siguiente paso.
2244,2928,1,Revisa tus gastos mensuales y elimina los superfluos.
1124,493,4,Planea tu jubilación con tiempo.
525,2573,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
265,2208,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2266,1440,4,Planea tu jubilación con tiempo.
1889,1020,4,Asesórate con un experto financiero para dar el siguiente paso.
1472,1049,3,"Sigue ahorrando, pero también revisa tus metas."
1749,956,4,Diversifica tus inversiones: considera fondos o bienes raíces.
1334,409,4,Invierte en educación financiera o cursos.
357,2544,0,Situación crítica. Elabora un presupuesto mensual estricto.
2539,1324,4,Asesórate con un experto financiero para dar el siguiente paso.
1266,1746,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2290,2529,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1401,3336,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1394,3063,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1437,290,4,Planea tu jubilación con tiempo.
1257,600,4,Asesórate con un experto financiero para dar el siguiente paso.
630,2120,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
657,693,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2364,882,4,Planea tu jubilación con tiempo.
2395,3123,1,Reduce gastos en entretenimiento o delivery.
1408,2073,1,Reduce gastos en entretenimiento o delivery.
1474,1392,3,"Sigue ahorrando, pero también revisa tus metas."
807,199,4,Invierte en educación financiera o cursos.
2927,347,4,Invierte en educación financiera o cursos.
2779,1546,4,Asesórate con un experto financiero para dar el siguiente paso.
2630,2099,4,Invierte en educación financiera o cursos.
1581,421,4,Diversifica tus inversiones: considera fondos o bienes raíces.
918,872,3,"Sigue ahorrando, pero también revisa tus metas."
2078,1512,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2197,1749,3,Considera aumentar tu fondo de emergencia.
798,2735,0,Situación crítica. Elabora un presupuesto mensual estricto.
1800,1338,3,"Sigue ahorrando, pero también revisa tus metas."
1782,371,4,Asesórate con un experto financiero para dar el siguiente paso.
1128,2302,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1016,2738,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1040,1691,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2074,2951,0,Busca ingresos extra como trabajos freelance o ventas.
1508,3177,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1328,3286,0,Busca ingresos extra como trabajos freelance o ventas.
663,1832,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1520,2642,0,Situación crítica. Elabora un presupuesto mensual estricto.
1848,1479,3,"Sigue ahorrando, pero también revisa tus metas."
2100,240,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2345,3319,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
838,2435,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1072,1920,0,Situación crítica. Elabora un presupuesto mensual estricto.
2862,1082,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
656,1659,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2882,3463,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2959,2183,4,Asesórate con un experto financiero para dar el siguiente paso.
2440,1237,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2865,2313,4,Invierte en educación financiera o cursos.
1675,3268,0,Reducción urgente de gastos. Considera renegociar tus deudas.
792,1493,1,Reduce gastos en entretenimiento o delivery.
2070,3196,0,Situación crítica. Elabora un presupuesto mensual estricto.
364,3067,0,Busca ingresos extra como trabajos freelance o ventas.
1505,1231,3,Considera aumentar tu fondo de emergencia.
1472,891,4,Planea tu jubilación con tiempo.
2204,1651,4,Asesórate con un experto financiero para dar el siguiente paso.
1257,1554,1,Revisa tus gastos mensuales y elimina los superfluos.
1775,1861,1,Reduce gastos en entretenimiento o delivery.
1494,3016,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1293,2943,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2241,3099,0,Busca ingresos extra como trabajos freelance o ventas.
478,321,3,Evalúa tus gastos anuales y ajusta si es necesario.
747,781,1,Evita el uso frecuente de tarjetas de crédito.
1032,1295,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2733,3339,1,Revisa tus gastos mensuales y elimina los superfluos.
2818,1465,4,Diversifica tus inversiones: considera fondos o bienes raíces.
1925,1777,3,Evalúa tus gastos anuales y ajusta si es necesario.
1318,547,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2599,2504,3,Considera aumentar tu fondo de emergencia.
349,1443,0,Situación crítica. Elabora un presupuesto mensual estricto.
859,1342,1,Revisa tus gastos mensuales y elimina los superfluos.
420,3366,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2486,3088,1,Revisa tus gastos mensuales y elimina los superfluos.
960,3313,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2319,1546,4,Planea tu jubilación con tiempo.
2233,2800,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1807,286,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1456,2258,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2790,3224,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1463,3104,0,Reducción urgente de gastos. Considera renegociar tus deudas.
899,788,3,Evalúa tus gastos anuales y ajusta si es necesario.
2544,3329,1,Revisa tus gastos mensuales y elimina los superfluos.
2355,2953,1,Pequeños ajustes pueden ayudarte a ahorrar más.
572,2695,0,Situación crítica. Elabora un presupuesto mensual estricto.
1386,2773,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2956,711,4,Planea tu jubilación con tiempo.
2406,1467,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
367,108,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
365,728,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2129,2491,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2733,3120,1,Evita el uso frecuente de tarjetas de crédito.
2486,3053,1,Evita el uso frecuente de tarjetas de crédito.
1603,1205,3,"Sigue ahorrando, pero también revisa tus metas."
1916,626,4,Invierte en educación financiera o cursos.
2894,2435,3,Evalúa tus gastos anuales y ajusta si es necesario.
2420,1367,4,Planea tu jubilación con tiempo.
2537,324,4,Planea tu jubilación con tiempo.
2475,2429,3,"Sigue ahorrando, pero también revisa tus metas."
2350,562,4,Invierte en educación financiera o cursos.
400,3412,0,Busca ingresos extra como trabajos freelance o ventas.
1638,936,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
397,2335,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1991,365,4,Asesórate con un experto financiero para dar el siguiente paso.
418,2113,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1701,3137,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
643,1459,0,Busca ingresos extra como trabajos freelance o ventas.
1655,1266,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
1059,316,4,Asesórate con un experto financiero para dar el siguiente paso.
2208,1516,4,Planea tu jubilación con tiempo.
2345,2191,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
2122,1653,3,Evalúa tus gastos anuales y ajusta si es necesario.
2501,559,4,Asesórate con un experto financiero para dar el siguiente paso.
1221,2403,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1513,1739,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2193,488,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2130,381,4,Asesórate con un experto financiero para dar el siguiente paso.
1605,2168,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1795,587,4,Planea tu jubilación con tiempo.
2274,2294,1,Pequeños ajustes pueden ayudarte a ahorrar más.
220,2134,0,Reducción urgente de gastos. Considera renegociar tus deudas.
607,810,1,Reduce gastos en entretenimiento o delivery.
294,1899,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2939,2007,4,Asesórate con un experto financiero para dar el siguiente paso.
365,1470,0,Situación crítica. Elabora un presupuesto mensual estricto.
2821,2452,3,Analiza opciones de inversión de bajo riesgo.
860,679,3,Analiza opciones de inversión de bajo riesgo.
1632,1378,3,Considera aumentar tu fondo de emergencia.
1344,839,4,Planea tu jubilación con tiempo.
1897,348,4,Invierte en educación financiera o cursos.
2865,1614,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2318,2803,1,Evita el uso frecuente de tarjetas de crédito.
328,3237,0,Situación crítica. Elabora un presupuesto mensual estricto.
2423,765,4,Planea tu jubilación con tiempo.
1967,1486,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
793,3417,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1093,3266,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2974,1989,4,Invierte en educación financiera o cursos.
1792,159,4,Diversifica tus inversiones: considera fondos o bienes raíces.
392,1071,1,Evita el uso frecuente de tarjetas de crédito.
2485,3338,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1296,3008,0,Busca ingresos extra como trabajos freelance o ventas.
613,1574,0,Busca ingresos extra como trabajos freelance o ventas.
1610,2287,1,Reduce gastos en entretenimiento o delivery.
2418,1617,4,Asesórate con un experto financiero para dar el siguiente paso.
825,1625,1,Evita el uso frecuente de tarjetas de crédito.
2937,2314,4,Invierte en educación financiera o cursos.
1691,576,4,Planea tu jubilación con tiempo.
2232,2713,1,Revisa tus gastos mensuales y elimina los superfluos.
214,1235,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2012,229,4,Asesórate con un experto financiero para dar el siguiente paso.
2416,3338,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1248,2956,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2266,1938,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
2400,1896,4,Planea tu jubilación con tiempo.
1060,625,3,Evalúa tus gastos anuales y ajusta si es necesario.
2955,2605,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
529,3074,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
